Transaction ID,IP,City,Lat,Lng,Continent,Capital,Country,ASN,Organization
db096aac-6835-495e-aaa3-4d82665d156a,147.17.133.152,Waltham,42.40632,-71.27939,North America,"Washington, D.C.","Washington, D.C.",N/A,Raytheon Company
5aca5952-cc27-4d6f-b612-d7af473b73e1,17.97.43.210,Cupertino,37.32268,-122.03005,North America,"Washington, D.C.","Washington, D.C.",N/A,Apple Inc.
49520297-ce2d-4f75-8e00-3c17ee827f03,99.111.217.227,Oshkosh,44.02471,-88.54261,North America,"Washington, D.C.","Washington, D.C.",N/A,"AT&T Services, Inc."
73ab78f4-f0bc-45c6-a424-4e07fb208ec8,12.8.122.125,Tallahassee,30.50965,-84.24872,North America,"Washington, D.C.","Washington, D.C.",N/A,"AT&T Services, Inc."
0e2f402f-ae7c-4a77-98d2-628dfd46c53c,165.10.134.174,Ferndale,-26.09221,28.00422,Africa,Pretoria,Pretoria,N/A,SAPOSNET3
fd7465c8-0c78-4f8c-b483-6f9206272c3d,159.90.91.169,Caracas,10.50526,-66.91776,South America,Caracas,Caracas,N/A,Universidad Simon Bolivar
a150e342-5700-42fe-97c7-05402eab2f78,134.50.160.26,Pocatello,42.86198,-112.43320,North America,"Washington, D.C.","Washington, D.C.",N/A,Idaho State University
fcbcea92-3964-465e-88e2-10130ce61724,138.49.4.246,La Crosse,43.81295,-91.23001,North America,"Washington, D.C.","Washington, D.C.",N/A,University of Wisconsin System
e4c3ae6c-b795-40aa-b59c-23d346649cb3,195.59.118.107,Bude,50.81594,-4.54661,Europe,London,London,N/A,CW
22ef7661-c099-41ca-94f6-86ae0e1b9a1f,192.221.61.154,Monroe,32.58997,-92.06862,North America,"Washington, D.C.","Washington, D.C.",N/A,"Level 3 Parent, LLC"
86debd0e-fcb8-428d-a7be-f0d887c95ad0,79.158.222.192,Madrid,40.51606,-3.66300,Europe,Madrid,Madrid,N/A,TELEFONICA DE ESPANA S.A.U.
6e24cf4f-6511-463f-9d0e-2ef2a78d12f5,217.84.90.74,Darmstadt,49.86571,8.62604,Europe,Berlin,Berlin,N/A,Deutsche Telekom AG
170484b0-4c41-4d3e-b20d-87db68305d71,216.149.108.115,Ashburn,39.01121,-77.47120,North America,"Washington, D.C.","Washington, D.C.",N/A,Verizon Business
39e215ee-7979-41ec-8e25-c2eea19bc8a8,110.206.230.96,Yiyang,28.57007,112.35504,Asia,Beijing,Beijing,N/A,CHINA RAILWAY TELECOMMUNICATIONS
8ac34444-08a3-4d8e-b6d2-ba5917a6b25c,193.45.0.241,Stockholm,59.33257,18.06683,Europe,Stockholm,Stockholm,N/A,Arelion Sweden AB
44b452ff-aa03-45a6-acca-b2ce34d39aea,200.142.161.16,Rio de Janeiro,-22.91216,-43.17501,South America,Brasilia,Brasilia,N/A,Telespazio Brasil S.A.
ed4f26ab-21e8-4d74-b10a-516fc44da8ab,192.50.196.47,Chiyoda City,35.69156,139.76755,Asia,Tokyo,Tokyo,N/A,imported inetnum object for JNIC
609f1e0c-16bf-4cd8-9f32-258dd5c12411,17.254.172.50,Cupertino,37.32268,-122.03005,North America,"Washington, D.C.","Washington, D.C.",N/A,Apple Inc.
cf66aa69-f186-4c02-b53b-69f618f9fae9,16.87.131.18,Seattle,47.55379,-122.30346,North America,"Washington, D.C.","Washington, D.C.",N/A,"Amazon.com, Inc."
9e8d611c-4bbf-45c1-89b7-2ad026b4a88f,204.89.4.220,Los Gatos,37.22317,-121.98334,North America,"Washington, D.C.","Washington, D.C.",N/A,"Mactivity, Inc."
769a202e-cd3a-4560-aaa9-03e6e0d377af,201.135.191.223,Tlalpan,19.28843,-99.16667,North America,Mexico City,Mexico City,N/A,
3b00c4e5-3834-49d4-8924-fc6edf25d696,208.76.180.5,Boulder,40.06595,-105.21331,North America,"Washington, D.C.","Washington, D.C.",N/A,Interactive Telecom Network
be32a104-b52a-4d89-a163-68ee9edbc963,119.155.15.254,Karachi,24.86073,67.00114,Asia,Islamabad,Islamabad,N/A,Pakistan Telecommuication company limited
057b67a9-338d-4b55-8394-d24374b51f7e,214.131.173.128,Columbus,39.97883,-82.89573,North America,"Washington, D.C.","Washington, D.C.",N/A,DoD Network Information Center
a3778124-4b23-494d-a1dc-776ef6f24c89,212.73.74.163,Yerevan,40.20882,44.53019,Asia,Yerevan,Yerevan,N/A,Telecom Armenia OJSC
