Transaction ID,IP,City,Lat,Lng,Continent,Capital,Country
20e0ae8b-03bb-4f54-a55f-5176d9e76bef,206.223.213.98,Ketchikan,55.34210,-131.64784,North America,"Washington, D.C.","Washington, D.C."
183e8ae9-b3ac-48cc-abe3-59896de8ec5b,125.166.176.111,Surakarta,-7.55734,110.82225,Asia,Jakarta,Jakarta
d9ee98ed-5bb5-47a4-a83e-e229b0acff5d,143.36.10.249,Cincinnati,39.10291,-84.50630,North America,"Washington, D.C.","Washington, D.C."
74f1a35a-6df5-4dd5-b9db-64596e65d053,75.4.9.40,Redmond,47.66930,-122.12180,North America,"Washington, D.C.","Washington, D.C."
3b308db3-411a-4539-b89c-2a6aa856ec51,223.159.138.17,Yiyang,28.57007,112.35504,Asia,Beijing,Beijing
805fdcda-841b-4a3c-a70f-a3252b60e643,137.168.185.207,Brisbane,37.67452,-122.38774,North America,"Washington, D.C.","Washington, D.C."
474a0fb5-a7f0-4392-84cc-dc31b9dd3524,94.111.203.193,Evere,50.87344,4.41489,Europe,Brussels,Brussels
ead3db00-5e89-4f78-848d-c0519acc26e5,169.146.203.253,Spartanburg,34.98851,-81.95849,North America,"Washington, D.C.","Washington, D.C."
28ce5903-8c06-43b7-b9c7-02f10762c2a9,75.70.109.148,Denver,39.73915,-104.98470,North America,"Washington, D.C.","Washington, D.C."
a59e1651-c87f-413b-8cb7-08882943e624,17.151.176.183,Cupertino,37.32268,-122.03005,North America,"Washington, D.C.","Washington, D.C."
526a74e4-88ae-4b64-9475-35a19330f391,98.190.149.237,Phoenix,33.44825,-112.07580,North America,"Washington, D.C.","Washington, D.C."
3dd285ed-9952-44e1-af98-21bd86370085,189.45.32.69,Sao Paulo,-23.56287,-46.65468,South America,Brasilia,Brasilia
52fb02e3-49f4-489e-b45e-d6ffd32acb2f,197.101.135.142,Bryanston,-26.04008,28.02683,Africa,Pretoria,Pretoria
edcb6d8e-8b9b-422b-bf78-36ab99146738,219.145.19.75,Xian,34.22245,108.94866,Asia,Beijing,Beijing
351a571f-1db1-4c6d-8b30-2d559f885a76,161.138.212.150,La Paz,-16.49908,-68.13378,South America,Sucre,Sucre
2674b67f-4e64-493a-8e2a-a98464493453,188.144.232.169,Wittmund,53.65146,7.80122,Europe,Berlin,Berlin
a71f203b-904b-4343-805d-e73fe006817f,184.189.7.232,Oklahoma City,35.46756,-97.51643,North America,"Washington, D.C.","Washington, D.C."
23f88caf-f052-4f8e-835e-5c1b4bc02f7a,2.144.52.125,Tehran,35.68877,51.41503,Asia,Tehran,Tehran
6520ec20-6af6-402b-9f0d-309af0498811,217.240.13.44,Laichingen,48.49114,9.69016,Europe,Berlin,Berlin
050a5c26-360d-419a-885c-6c54acee179f,50.150.144.183,Mt Laurel,39.96657,-74.90327,North America,"Washington, D.C.","Washington, D.C."
85649ba9-a999-4a3e-bcc8-3a40e366c287,118.221.184.46,Seoul,37.55886,126.99989,Asia,Seoul,Seoul
91183813-f599-4eca-bd6e-406ce3dced94,50.218.163.188,Mt Laurel,39.96657,-74.90327,North America,"Washington, D.C.","Washington, D.C."
1e5b33d1-5247-4e07-a4df-ff3934513312,149.79.63.248,Arlington,38.89050,-77.08629,North America,"Washington, D.C.","Washington, D.C."
8912d93f-3318-4f00-be48-2e79bf087e56,197.39.197.141,El Dokki,30.03808,31.20930,Africa,Cairo,Cairo
25d62317-0b21-4a83-9569-30f5fa12fc38,131.79.249.152,Columbus,39.97883,-82.89573,North America,"Washington, D.C.","Washington, D.C."
ccbb94e3-d273-4a4a-a5da-0714583b5444,23.186.94.112,Centreville,38.84275,-77.43924,North America,"Washington, D.C.","Washington, D.C."
381722ac-5106-40fa-8288-f154c7fa3491,196.90.189.217,Rabat,33.95821,-6.87079,Africa,Rabat,Rabat
552c15db-ca57-43fc-89fc-d117efdcf3ff,87.52.229.220,Copenhagen,55.66500,12.62124,Europe,Copenhagen,Copenhagen
02871bd1-6467-4cfd-a996-cbdde01aa6f9,112.222.234.117,Seoul,37.55886,126.99989,Asia,Seoul,Seoul
b76614b1-6fd5-43b8-a15d-f875a8b3a3d2,139.245.20.249,Columbus,39.97883,-82.89573,North America,"Washington, D.C.","Washington, D.C."
c3cb3a59-a33a-47fc-9afc-19e1ccfe8252,205.122.158.120,Salt Lake City,40.76812,-111.83838,North America,"Washington, D.C.","Washington, D.C."
50374eb0-61c0-4a8d-b1bb-0537910f1c21,161.183.163.226,New York,40.75414,-73.97641,North America,"Washington, D.C.","Washington, D.C."
66b11110-0bc3-4936-adc7-c9a2723532e6,78.191.129.109,Ankara,39.95971,32.86969,Asia,Ankara,Ankara
ec405da6-c3a7-4faf-a4f5-b28f544b5a22,155.38.69.24,Seattle,47.62232,-122.33665,North America,"Washington, D.C.","Washington, D.C."
8035644f-51e7-45eb-a2a4-7e6029adcf0f,135.78.1.207,Indianapolis,39.77091,-86.15827,North America,"Washington, D.C.","Washington, D.C."
3928e324-9f45-4b72-9161-334d29953214,78.184.92.197,Ankara,39.95971,32.86969,Asia,Ankara,Ankara
6075777f-2b9e-4730-9787-2beb5d454db0,115.201.163.114,Taizhou,28.85603,121.13885,Asia,Beijing,Beijing
32cfbe22-6b89-4949-a2eb-d341c6285627,140.152.110.97,Columbus,39.97883,-82.89573,North America,"Washington, D.C.","Washington, D.C."
78238fde-8c41-435c-a6a8-47f3b4d1cb5b,143.229.212.64,Poughkeepsie,41.68655,-73.89771,North America,"Washington, D.C.","Washington, D.C."
596dcd68-631f-4576-a7e8-01199d6e3901,124.154.215.6,Chiyoda City,35.69156,139.76755,Asia,Tokyo,Tokyo
