Transaction ID,IP,City,Lat,Lng,Continent,Capital,Country
ea09c5d6-0dc8-43b6-bb74-e3e59f5f9e01,29.6.17.226,Columbus,39.97883,-82.89573,North America,"Washington, D.C.","Washington, D.C."
365aea74-addb-45a0-934a-1424e5654ffe,130.145.253.177,Eindhoven,51.43597,5.48533,Europe,Amsterdam,Amsterdam
05a9bd37-1200-446a-a3ec-88f92216a632,218.27.222.127,Baishan,41.41996,128.20047,Asia,Beijing,Beijing
1572aae9-af83-4cfd-8362-1117935b5222,122.38.67.158,Seoul,37.55886,126.99989,Asia,Seoul,Seoul
4e1699cc-7d0d-4e6f-95c8-d4b72a47698b,141.154.6.158,Ashburn,39.01121,-77.47120,North America,"Washington, D.C.","Washington, D.C."
0742fd2b-c97d-48f4-a09b-d07a7d2f3288,78.80.111.154,Karlin,50.07554,14.43780,Europe,Prague,Prague
a0737417-ff9a-4001-91b2-91dab77d832e,149.71.94.117,Washington,38.89037,-77.03196,North America,"Washington, D.C.","Washington, D.C."
05dc7f6a-d7c5-449a-aeaf-0c31f9c507ce,117.64.32.150,Wuhu,31.32632,118.37645,Asia,Beijing,Beijing
a7130788-4170-459e-8154-2d92b80cc99c,211.58.59.234,Seoul,37.55886,126.99989,Asia,Seoul,Seoul
be2f41c2-b67e-4e7c-894a-6b970bed22a4,223.25.60.45,Santa Rosa,14.29426,121.11063,Asia,Manila,Manila
64a2976b-7f98-4a2c-9932-bbc4aef143ac,130.29.44.40,Santa Clara,37.32563,-121.99893,North America,"Washington, D.C.","Washington, D.C."
9d61b3a1-1a06-4944-a102-142eec523798,221.223.217.71,Beijing,39.94840,116.48548,Asia,Beijing,Beijing
72bf211c-9500-42f6-a783-03774a39cc95,168.147.55.11,Portsmouth,43.06351,-70.79263,North America,"Washington, D.C.","Washington, D.C."
17418721-dfaa-48ff-a49b-ed2473e9c4de,156.76.39.68,Milwaukee,43.03728,-87.91151,North America,"Washington, D.C.","Washington, D.C."
f3e7db17-f567-4042-b35b-59e871d35d07,218.82.254.13,Shanghai,31.22036,121.42462,Asia,Beijing,Beijing
1f541a55-0714-45cf-b4d8-8708032f3533,146.208.176.206,Santa Rosa,38.48318,-122.71250,North America,"Washington, D.C.","Washington, D.C."
a98a0b73-870c-49a1-acfa-933ffc35dded,148.135.181.47,Las Vegas,36.18086,-115.24169,North America,"Washington, D.C.","Washington, D.C."
fe33e0e3-2869-4031-a209-07c3027fb799,198.210.54.102,Gustine,37.25772,-120.99882,North America,"Washington, D.C.","Washington, D.C."
3e45bc87-4c7f-4a57-9329-121b9327b64f,46.209.135.213,Tehran,35.74709,51.41147,Asia,Tehran,Tehran
48889d6d-95bc-47bd-9cec-ebd2156f4d60,217.198.69.122,Stockholm,59.30098,18.09813,Europe,Stockholm,Stockholm
a26dd9bb-989b-4cf1-91f9-87e46ff44759,220.150.8.100,Chiyoda City,35.69156,139.76755,Asia,Tokyo,Tokyo
1b3f6e28-0904-499e-9619-b4faa1fa365f,212.7.175.33,Coblenz,50.35609,7.58880,Europe,Berlin,Berlin
6227249b-800b-443a-a2de-a1f7c8a7ea64,111.193.59.78,Beijing,40.13020,116.65417,Asia,Beijing,Beijing
2f937457-2e48-4da0-b32c-cdabcb071d7c,150.161.251.21,Recife,-8.05603,-34.87035,South America,Brasilia,Brasilia
c342f8d3-9141-48ea-b68f-1271fcd246d1,204.179.244.122,Columbia,39.18000,-76.80805,North America,"Washington, D.C.","Washington, D.C."
e493140a-820a-4d1b-acb2-ca32c5518e81,144.187.33.220,Chicago,41.88837,-87.63536,North America,"Washington, D.C.","Washington, D.C."
19f013ec-b1f1-4d22-9e4d-368bb3364649,158.6.164.140,Fort Huachuca,31.55514,-110.34628,North America,"Washington, D.C.","Washington, D.C."
